,도시,테마,도로명주소,지번주소,위도,경도,검색건수,데이터셋카테고리,지도상 관광지명,별점,리뷰개수,관광지소개
0,경상북도 안동시,,안동시 관광단지로 346-30 (성곡동),안동시 성곡동 1559,36.5695076,128.7786154,2610000,,안동문화관광단지,4.0,337,운동.숙박.휴양시설을 갖춘 체류형복합문화단지
1,경상북도 안동시,,안동시 풍천면 전서로 206,안동시 풍천면 하회리 287,36.5489594,128.5274931,607000,,안동 하회마을,4.1,6152,하회마을등 주변의전통문화자원과 연계된 관광여가단지
2,강원도 횡성군,,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 539-1,37.59380861,128.0575207,9080,,어답산,3.0,6,"병지방계곡,캠핑장"
3,경상북도 영덕군,,,경상북도 영덕군 병곡면 병곡리 72-8,36.600476,129.410658,50900,,블루로드,4.3,155,명사20리 라고 불리는 8km에 이르는 넓고 긴 양질의 백사장과 빼어난 해송림 등 우수한 자연자원을 보유한 관광지
4,경상북도 영덕군,,경상북도 영덕군 남정면 동해대로 3592,경상북도 영덕군 남정면 장사리 74-1,36.2824187049,129.3755938472,362000,,장사해수욕장,4.3,64,해수욕장의 청정 자연자원과 장사상륙작전이라는 역사적 사건을 보존한 관광지
5,강원도 횡성군,,강원도 횡성군 서원면 경강로유현1길 30,강원도 횡성군 서원면 유현리 1097,37.5290321124,127.8186828637,68000,,유현문화관광지유물전시관,4.5,2,"풍수원성당, 유물전시관, 산책로"
6,강원도 횡성군,,강원도 횡성군 둔내면 고원로 451,강원도 횡성군 둔내면 두원리 204,37.4901261112,128.2501389201,18700,,웰리힐리파크 스키장,4.3,90,"스키장, 골프장, 곤돌라, 콘도"
7,충청남도 서산시,,,충청남도 서산시 부석면 간월도리 산33 일원,36.60625263,126.4177537,61000,,간월도,4.3,42,"서산이 자랑하는 서산 9경 중 제3경은 천수만 간월암이다. 이곳은 아름다운 해넘이를 볼 수 있는 명소로 알려져 있다. 그런 이유로 간월도는 매년 많은 사진사들이 몰려들고 있다. 그런데 이곳에는 사진사만 모이는 것이 아니라 미식을 추구하는 많은 식객들도 이곳을 자주 방문한다고 한다. 바로 간월도에서 유명한 별미, 굴 요리를 맛보기 위해서다. 간월도에서 일몰만큼 유명한 굴 요리는 기력회복은 물론 두말할 것도 없는 뛰어난 맛을 가지고 있기 때문이다."
8,충청남도 서산시,,충청남도 서산시 인지면 무학로 1353-4,,36.72735767,126.4131464,7130,,서산류방택천문기상과학관,4.4,184,천상열차분야지도를 제작한 충남 서산 출신 고려말 천문학자 류방택 선생의 뜻을 기려 설립된 과학관
9,충청남도 서산시,,충청남도 서산시 부석면 천수만로 655-73,,36.62951253,126.378389,114000,,서산버드랜드,4.0,649,"철새도래시기에는 천수만에 도래하는 철새들을 탐조투어를 통해 볼 수 있고, 특별프로그램 기간에는 각종 체험행사 등을 경험할 수 있으며, 4D 영상 등의 볼거리가 있음."
10,충청남도 서산시,,충청남도 서산시 운산면 마애삼존불길 339,,36.7518805,126.6076383,46800,,용현자연휴양림,4.3,427,용현계곡 한가운데 자리해 심산유곡의 경치를 자랑하는 산림휴양의 적지
11,충청남도 서산시,,충청남도 서산시 해미면 남문2로 143,,36.71355717,126.5503842,259000,,해미읍성,4.3,7220,500년 옛모습을 잘 간직한 조선시대 석축 읍성
12,서울특별시 성북구,,서울특별시 성북구 성북로29길 24,서울특별시 성북구 성북동 222-1,37.5936268,126.9916662,67500,,만해 한용운 심우장,4.4,398,만해 한용운의 일제강점기 머물던 집
13,서울특별시 성북구,,서울특별시 성북구 선잠로5길 68(성북동),서울특별시 성북구 성북동 324-1,37.59910942,126.9946522,24600,,대한불교조계종 길상사,4.6,2512,최고급 요정에서 도심속 도량으로 환골탈퇴
14,서울특별시 성북구,,서울특별시 성북구 대사관로121,서울특별시 성북구 성북동 330-577,37.60037831,126.9934492,3450000,,한국가구박물관,4.6,314,한국의 전통가구를 한눈에 볼수있는 곳
15,전라남도 진도군,,,전라남도 진도군 군내면 녹진리 산2-14,34.568986,126.300201,58900,,녹진전망대,4.3,45,명량해전의 울둘목 해역이 한눈에 보이는 역사가 숨쉬는 관광지
16,전라남도 진도군,,전라남도 진도군 고군면 신비의바닷길 148,전라남도 진도군 고군면 금계리 153-1,34.42726548,126.3513474,897000,,화개장터,3.5,7109,신비의바닷길이 열리는 축제명소
17,전라남도 진도군,,전라남도 진도군 임회면 아리랑길 95-5,전라남도 진도군 임회면 상만리 11,34.38201529,126.2310334,372000,,진도아리랑마을,3.6,101,예술인의 멋과 정취를 느낄수 있는 아리랑마을
18,인천광역시 강화군,,인천광역시 강화군 화도면 마니산로675번길 18,인천광역시 강화군 화도면 상방리 402-2,37.63245827,126.4237957,43000,,마니산국민관광지,4.5,32,백두산과 한라산의 중간지점에 위치하여 우리나라에서 기가 가장 센 곳이며 정상에 있는 참성단에서 매해 제례를 올리고 칠선녀가 전국 체육대회의 성화를 채화함
19,경기도 과천시,,경기도 과천시 추사로 78,경기도 과천시 주암동 184-2,37.45300477,127.0287157,170000,,추사박물관,4.2,195,추사 김정희가 말년에 4년간 과지초당에서 지내며 꽃피웠던 학문과 예술의 정수를 알리기 위해 추사박물관 개관함.
20,충청남도 홍성군,,,충청남도 홍성군 서부면 남당리 859-2,36.539234315,126.471915368,134000,,남당리,4.0,135,"대하, 우럭, 새조개, 꽃게 등 사시사철 싱싱한 수산물을 맛볼수 있으며, 잔잔한 은빛 수면으로 석양이 아름다움을 느낄 수 있음"
21,충청남도 부여군,,충청남도 부여군 부여읍 백강로 148,충청남도 부여군 부여읍 구교리 17-4,36.28718846,126.9068136,87000,,구드래조각공원,4.3,798,백마강과 함께 가족단위 공원 심터 및 생활체육을 즐길수 있는 웰빙관광지
22,충청남도 부여군,,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,36.14594895,126.8248464,38000,,부여서동요역사관광지,3.8,392,역사문화환경을 구축하여 부여 대표 관광명소
23,충청남도 부여군,,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,36.30386704,126.9007732,681000,,백제문화단지,4.4,3037,"고유의 교육적 가치 제고 및 관광, 지역경제 활성화를 위한 슈요자 중심의 체류형 종합 관광단지"
24,경상북도 경주시,,경상북도 경주시 보문로 446,경상북도 경주시 신평동 375-7,35.843673,129.2869659,363000,,경주보문관광단지,4.3,2146,"사계절 관광객이 이용할 수 있는 온천형 관광지, 우아하고 정취있는 전통적 이미지가 창출될 수 있는 내륙형 관광 휴양지"
25,강원도 양양군,,,강원도 양양군 서면 가라피리 165,38.07706115,128.5128997,757000,,오색약수터,4.2,2976,설악산과오색령에 아름다운 자연경관을 볼수 있음
26,강원도 양양군,,,강원도 양양군 현남면 지리 5-1,37.92741327,128.7948611,716000,,대청호반자연생태공원,4.3,532,동해안 해안절경 감상
27,강원도 양양군,,,강원도 양양군 손양면 동호리 510-28,38.05555608,128.6641979,11500,,양양국제공항,4.4,356,장기체류형 종합 스포츠레저단지
28,충청남도 태안군,,충청남도 태안군 소원면 만리포2길 190-3,,36.7900078076,126.1465708612,146000,,만리포해수욕장,4.3,158,"대천, 변산해수욕장과 함께 서해안 3대 해수욕장으로 꼽히는 만리포해수욕장은 백사장의 길이가 약 3km, 폭 약 250m이상, 면적 20만㎡입니다.고운 모래로 백사장이 좋고, 경사가 완만하고 수심이 얕아 가족 단위의 해수욕장으로 사랑받고 있습니다.조석간만의 차와 조류 변화가 심한 편이어서 썰물 때의 수영은 삼가는 것이 좋습니다.충분한 숙박시설과 위락시설을 갖추고 있으며 인근 방파제에서는 낚시도 즐길 수 있습니다."
29,충청북도 영동군,,,충청북도 영동군 영동읍 매천리 산 35-1,36.15635341,127.7865137,292000,,레인보우,3.7,3,영동의 아름다움을 볼 수 있는 7가지 테마가 있는 관광지
30,충청북도 영동군,,충청북도 영동군 양산면 송호로 105,충청북도 영동군 양산면 송호리 249-8,36.12969079,127.676367,71000,,송호국민관광지,4.2,590,아름다운 금강변 옆 1400여 그루의 송림에서 캠핑을 즐기며+ 신선놀음을 하기 제격인 곳
31,전라남도 순천시,,전라남도 순천시 국가정원1호길 47,전라남도 순천시 오천동 600,34.92888588,127.4999591,1360000,,순천만국가정원,4.5,6205,대한민국 생태도시 순천은 세계 5대 연안습지인 순천만습지의항구적인 보전을 위해 정원을 조성하고 2013순천만국제정원박람회를 개최하였다. 그 이후 제1호 국가정원으로 지정됨으로써 순천만국가정원은 대한민국 정원문화산업의 메카로 자리매김하게 되었다.
32,전라남도 순천시,,전라남도 순천시 순천만길 513-25(대대동),전라남도 순천시 대대동 162-2,34.88579701,127.5092833,824000,,순천만습지,4.4,9717,"75㎢가 넘는 해수역, 22.6㎢의 갯벌면적, 5.4㎢에 달하는 거대한 갈대군락과 겨울이면 흑두루미, 재두루미, 노랑부리저어새, 큰고니, 검은머리물떼새 등 순천만에서 발견되는 철새는 총 230여종으로 우리나라 전체 조류의 절반가량이나 되며 2003년 습지 보호지역, 2006년 람사르협약 등록, 2008년 국가지정문화재 명승 제41호로 지정된 순천만은 농게, 칠게, 짱뚱어 등과 같은 갯벌 생물들이 한데 어우러져 살아가고 있음."
33,전라남도 순천시,,전라남도 순천시 낙안면 충민길 30(동내리),전라남도 순천시 낙안면 동내리 438-1,34.90640107,127.3418227,143000,,낙안읍성민속마을,4.2,5649,"조선시대 상징적 계획도시인 읍성으로 주민이 실재 거주하는 대한민국 대표 민속마을-사적 제302호(1983.6.14.), 세계문화유산 잠정목록에 등재(2011.3.29.)"
34,전라남도 순천시,,전라남도 순천시 비례골길 24(조례동),전라남도 순천시 조례동 22,34.95810919,127.5378026,1690000,,순천드라마촬영장,4.1,3446,2006년 개장한 순천드라마촬영장은 1960~80년대 시대별 3개 마을(185여채)이 조성되어 있으며 7080 복고 체험 프로그램을 구성하여 관광객이 지속적으로 증가하고 있는 추세임
35,전라남도 순천시,,전라남도 순천시 낙안면 평촌3길 45,전라남도 순천시 낙안면 남내리 219,34.9036464,127.3399827,64300,,순천시립 뿌리깊은나무 박물관,3.9,229,"2011년에 개관한 뿌리깊은나무박물관은 잡지뿌리깊은나무 창간자 故한창기 선생이 생전에 모은 6,500여점의 유물이 전시·보존 되어 있는곳입니다."
36,전라남도 순천시,,전라남도 순천시 송광면 송광사안길 100,전라남도 순천시 송광면 신평리 12,35.00236255,127.2748706,496000,,종남산 송광사,4.3,604,유구한 역사를 품은 힐링 사찰
37,전라남도 순천시,,전라남도 순천시 승주읍 선암사길 450,전라남도 순천시 승주읍 죽학리 802,34.99618213,127.327356,368000,,한국불교태고종 선암사,4.5,1383,선암사는 호남의 명산 조계산(884M)에 자리잡은 한국적인 절의 옛 모습을  가장 잘 보존한 천년의 고찰로 2018년 유네스코 세계문화유산에 등재된 국내의 명찰 가운데 하나
38,전라남도 순천시,,전라남도 순천시 해룡면 생태배움길 123,전라남도 순천시 해룡면 대안리 1055-9,34.92310938,127.5164423,59700,,순천만에코촌유스호스텔,4.1,199,"세계5대 연안습지 순천만, 2013년 440만이 감동한 순천마 정원의 인근에 자리잡은 전국 최초 전통 한옥형 유스호스텔."
39,전라남도 순천시,,전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시 서면 운평리 산160,35.04388083,127.4744949,420000,,순천자연휴양림 Suncheon Recreational Forest,4.3,76,2011년 개장한 순천자연휴양림은 피톤치드가 풍부한 침엽수림으로 산책로가 길지않고 대부분이 평지여서 남녀노소 누구나 힐링할수 있는곳임
40,전라남도 순천시,,전라남도 순천시 매산길 61(매곡동),전라남도 순천시 매곡동 179-10,34.96043473,127.4801207,842000,,기독교역사전시관,3.5,2,호남기독교 100년의 역사를 품은 순천시 기독교역사박물관은 한국 기독교 선교의 역사를 다양한 유물과 영상을 통해 알기 쉽게 전달하는 공립박물관입니다.
41,전라남도 순천시,,전라남도 순천시 별량면 오실길 333,전라남도 순천시 별량면 덕정리 산90-1,34.89477542,127.4482083,86800,,승주컨트리클럽,4.5,453,"63만평의 순천만과 다도해가 내려다 보이는 광활한 대지 위에 자연 그대로 어우러져 동, 남, 중 3개 코스로 펼쳐진 전장 9,682m의 27홀 회원제 골프장입니다."
42,전라남도 순천시,,전라남도 순천시 주암면 송광사길 99,전라남도 순천시 주암면 문길리 산20-2,35.03454985,127.2723022,31200,,파인힐스 골프&호텔,4.3,583,산림의 짙은 솔 내음의 대자연의 청취속에서 어우러진 다이나믹하고 드라마틱한 27홀코스
43,전라남도 순천시,,전라남도 순천시 주암면 행정1길 77,전라남도 순천시 주암면 행정리 1,35.0453779,127.3092617,170000,,Golfzoncounty Suncheon,3.8,984,남도의 따뜻한 기후 아래 사계절 내내 푸른 양잔디에서 라운딩이 가능한 꿈의 필드
44,전라남도 순천시,,전라남도 순천시 별량면 동화사길 85,전라남도 순천시 별량면 죽산리 447,34.86653556,127.4059214,709000,,순천 CC,3.9,154,"골프를 즐기면서 순천만과 여수, 고흥 앞바다를 한눈에 내려다볼 수 있는 자연 경관이 아름다운 남도 최고의 힐링골프장이다."
45,전라남도 순천시,,전라남도 순천시 해룡면 신대로 188,전라남도 순천시 해룡면 신대리 1043,34.94005246,127.5555065,166000,,순천부영컨트리클럽,3.9,325,자연 친화형 설계로 도심과 가까운 곳에 위치하여 언제든지 부담없이 즐길수 있는 18홀 코스 컨트리클럽
46,전라남도 순천시,,전라남도 순천시 도서관길 33(동외동),전라남도 순천시 동외동 176,34.9579091,127.4860252,2040000,,그림책도서관,4.4,20,그림책원화전시 및 인형극등 체험
