,관광지,별점,리뷰수
0,안동문화관광단지,4.0,334
1,안동 하회마을,4.1,"6,108"
2,어답산,3.0,6
3,고래불해수욕장,4.3,221
4,장사해수욕장,4.3,64
5,유현문화관광지유물전시관,4.5,2
6,웰리힐리파크 스키장,4.3,90
7,간월도,4.3,42
8,서산류방택천문기상과학관,4.0,639
9,서산버드랜드,4.0,165
10,용현자연휴양림,4.3,425
11,해미읍성,4.0,4
12,만해 한용운 심우장,3.7,23
13,대길상사,4.6,"2,476"
14,한국가구박물관,4.5,"2,675"
15,녹진전망대,4.3,45
16,회동마루,4.6,24
17,진도아리랑마을,4.3,4
18,마니산국민관광지,4.5,31
19,추사박물관,4.5,913
20,남당정보통신,4.0,133
21,구드래조각공원,4.3,795
22,부여서동요역사관광지,3.8,390
23,백제문화단지,4.5,"2,679"
24,경주보문관광단지,4.3,653
25,오색약수터,4.2,"2,954"
26,웅포관광지,4.2,399
27,양양국제공항,4.4,347
28,만리포해수욕장,4.3,157
29,힐링,3.7,3
30,송호국민관광지,4.2,584
31,순천만국가정원,5.0,1
32,순천만습지,4.1,33
33,낙안읍성민속마을,4.8,4
34,순천드라마촬영장,4.1,"3,419"
35,순천시립 뿌리깊은나무 박물관,4.4,126
36,종남산 송광사,4.3,596
37,한국불교태고종 선암사,4.5,"1,370"
38,순천만에코촌유스호스텔,4.1,197
39,순천자연휴양림 Suncheon Recreational Forest,4.7,107
40,한국기독교역사박물관,3.9,89
41,승주컨트리클럽,4.5,453
42,파인힐스 골프&호텔,3.8,976
43,Golfzoncounty Suncheon,3.8,977
44,순천 CC,3.9,152
45,순천부영컨트리클럽,3.9,325
46,그림책도서관,4.4,18
47,청소년수련원,,
48,용오름전통테마마을,3.7,10
49,향매실마을,4.3,22
50,순천생태마을,2.5,2
51,순천만거차뻘배체험장,4.1,93
52,낙안민속자연휴양림,5.0,1
53,은파관광지,4.6,114
54,금강호휴게소,3.7,208
55,삼척해수욕장,4.8,25
56,맹방해수욕장,4.3,744
57,삼척해상케이블카 장호역,3.8,"4,014"
58,두암초당(한옥 절벽),5.0,1
59,한탄강 관광지,4.5,94
60,재인폭포,4.6,248
61,연천 호로고루,4.2,264
62,당포성,4.3,3
63,연천 전곡리 유적 (국화축제장),5.0,3
64,담양호국민관광지,2.8,16
65,죽녹원,4.4,"10,028"
66,메타세쿼이아가로수길,3.9,"3,434"
67,소쇄원 (瀟灑園),3.6,11
68,한국대나무박물관,3.8,85
69,한국가사문학관,4.1,235
70,삼지천 마을,4.1,112
71,화순온천,4.0,1
72,도곡온천,3.6,54
73,운주사,4.4,911
74,대둔산,4.4,104
75,모악산,4.5,54
76,고산자연휴양림,5.0,2
77,공기마을 편백나무숲,4.0,200
78,대아 수목원,4.3,4
79,비비정마을,,
80,비비정 예술열차,4.0,241
81,삼례문화예술촌,4.0,54
82,삼례책마을,4.4,228
83,완주 그림책 미술관,4.0,1
84,대한민국 술테마박물관,3.9,191
85,완주전통문화체험장,4.0,9
86,완주전통문화체험장,4.0,9
87,놀토피아,3.9,90
88,오성 한옥마을,4.3,3
89,고산자연휴양림,5.0,2
90,송광사묘법연화경찬술,4.5,"1,814"
91,위봉폭포,4.3,163
92,화암사,3.8,8
93,속초해변,4.3,80
94,금호리조트 설악,3.8,"2,380"
95,선택하신 날짜에는 공유숙박 이용도 가능합니다.,4.2,"6,671"
96,부평아트센터,4.2,15
97,부평굴포누리기후변화체험관,4.1,57
98,부평역사박물관,4.0,6
99,부평안전체험관,5.0,3
100,인천나비공원,4.4,"1,721"
101,용마폭포공원,4.3,24
102,망우리공원,3.6,7
103,"중랑캠핑숲, 중랑가족캠핑장",4.3,776
104,봉화산 옹기테마공원,4.4,291
105,천안종합휴양관광지,5.0,1
106,태조산공원,4.2,"1,199"
107,춘향테마파크,4.3,"4,424"
108,남원항공우주천문대,3.9,172
109,남원시립김병종미술관,3.8,5
110,혼불문학관,3.7,17
111,국악의성지,4.1,10
112,지리산허브밸리,3.9,66
113,남원시백두대간생태교육장,4.5,4
114,만인의총,5.0,1
115,아담원,3.0,216
116,춘향테마파크,3.7,"1,142"
117,농월정,4.6,25
118,달성토성(達城土城),4.4,9
119,오수의견공원,4.1,95
120,사선대관광지,4.3,3
121,율포해수욕장,4.2,53
122,한국차문화공원,4.0,119
123,황령산,4.6,68
124,고구려대장간마을,4.4,681
125,대전예술의전당,4.3,63
126,동구릉,4.0,1
127,우장춘기념관,4.3,15
128,장영실 과학동산,3.7,7
129,박차정 생가,4.5,6
130,금강공원,4.4,628
131,허심청 온천탕,4.3,"3,330"
132,복천박물관,4.4,71
133,청주 충렬사,4.3,25
134,부산해양자연사박물관,4.4,735
135,밀양 표충비,4.0,4
136,작원관지,4.1,"1,942"
137,예림서원,4.2,46
138,밀양향교,4.0,12
139,밀양관아지,4.2,18
140,영남루,4.0,12
141,만어사(萬魚寺),4.2,38
142,대한불교조계종 표충사(表忠寺),4.4,"1,464"
143,고씨동굴,4.1,"1,281"
144,부석사일주문,4.5,95
145,장계관광지,3.7,11
146,금강하구둑,4.0,140
147,춘장대해수욕장,4.1,74
148,으능정이 문화의 거리,4.4,13
149,온달관광지,4.0,"1,639"
150,천동국민관광지 천동동굴,3.5,54
151,다리안관광지,4.5,2
152,경산상대맥반온천,4.0,39
153,감우재전승기념관,5.0,1
154,해남 전라우수영,4.5,2
155,땅끝모노레일,3.9,"1,346"
156,경천대,4.3,707
157,낙동강 회상나루 관광지(Nakdonggang Hoesangnaru Tourist Site),4.6,83
158,이바구 공작소,4.2,803
159,더나눔,4.4,50
160,이바구충전소,4.2,184
161,168계단,4.2,"1,808"
162,김민부전망대,4.4,181
163,유치환의 우체통,4.2,"1,808"
164,한중우호센터,3.8,"1,999"
165,동구만화체험관,4.3,9
166,안용복기념부산포개항문화관,2.7,3
167,좌천동굴,3.7,6
168,고로고로만화카페,4.4,53
169,명란브랜드연구소,5.0,1
170,창원단감테마공원,3.9,7
171,창원의집,4.5,2
172,주남저수지,4.2,"2,862"
173,마금산원탕보양온천,4.0,970
174,창원과학체험관,4.0,"1,080"
175,진해해양레포츠스쿨,4.0,8
176,웅천도요지전시관,4.6,41
177,진해해양레포츠스쿨,4.0,8
