,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리
0,안동문화관광지,경상북도 안동시,,안동시 관광단지로 346-30 (성곡동),안동시 성곡동 1559,36.5695076,128.7786154,,,
1,하회관광지,경상북도 안동시,,안동시 풍천면 전서로 206,안동시 풍천면 하회리 287,36.5489594,128.5274931,,,
2,어답산관광지,강원도 횡성군,,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 539-1,37.59380861,128.0575207,,,
3,고래불관광지,경상북도 영덕군,,,경상북도 영덕군 병곡면 병곡리 72-8,36.600476,129.410658,,,
4,장사해수욕장관광지,경상북도 영덕군,,경상북도 영덕군 남정면 동해대로 3592,경상북도 영덕군 남정면 장사리 74-1,36.2824187049,129.3755938472,,,
5,유현문화관광지,강원도 횡성군,,강원도 횡성군 서원면 경강로유현1길 30,강원도 횡성군 서원면 유현리 1097,37.5290321124,127.8186828637,,,
6,웰리힐리파크 관광단지,강원도 횡성군,,강원도 횡성군 둔내면 고원로 451,강원도 횡성군 둔내면 두원리 204,37.4901261112,128.2501389201,,,
7,간월도관광지,충청남도 서산시,,,충청남도 서산시 부석면 간월도리 산33 일원,36.60625263,126.4177537,,,
8,서산류방택천문기상과학관,충청남도 서산시,,충청남도 서산시 인지면 무학로 1353-4,,36.72735767,126.4131464,,,
9,서산버드랜드,충청남도 서산시,,충청남도 서산시 부석면 천수만로 655-73,,36.62951253,126.378389,,,
10,용현자연휴양림,충청남도 서산시,,충청남도 서산시 운산면 마애삼존불길 339,,36.7518805,126.6076383,,,
11,해미읍성,충청남도 서산시,,충청남도 서산시 해미면 남문2로 143,,36.71355717,126.5503842,,,
12,심우장,서울특별시 성북구,,서울특별시 성북구 성북로29길 24,서울특별시 성북구 성북동 222-1,37.5936268,126.9916662,,,
13,길상사,서울특별시 성북구,,서울특별시 성북구 선잠로5길 68(성북동),서울특별시 성북구 성북동 324-1,37.59910942,126.9946522,,,
14,한국가구박물관,서울특별시 성북구,,서울특별시 성북구 대사관로121,서울특별시 성북구 성북동 330-577,37.60037831,126.9934492,,,
15,녹진관광지,전라남도 진도군,,,전라남도 진도군 군내면 녹진리 산2-14,34.568986,126.300201,,,
16,회동관광지,전라남도 진도군,,전라남도 진도군 고군면 신비의바닷길 148,전라남도 진도군 고군면 금계리 153-1,34.42726548,126.3513474,,,
17,아리랑마을관광지,전라남도 진도군,,전라남도 진도군 임회면 아리랑길 95-5,전라남도 진도군 임회면 상만리 11,34.38201529,126.2310334,,,
18,마니산 국민관광지,인천광역시 강화군,,인천광역시 강화군 화도면 마니산로675번길 18,인천광역시 강화군 화도면 상방리 402-2,37.63245827,126.4237957,,,
19,추사박물관,경기도 과천시,,경기도 과천시 추사로 78,경기도 과천시 주암동 184-2,37.45300477,127.0287157,,,
20,남당,충청남도 홍성군,,,충청남도 홍성군 서부면 남당리 859-2,36.539234315,126.471915368,,,
21,구드래관광지,충청남도 부여군,,충청남도 부여군 부여읍 백강로 148,충청남도 부여군 부여읍 구교리 17-4,36.28718846,126.9068136,,,
22,서동요역사관광지,충청남도 부여군,,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,36.14594895,126.8248464,,,
23,백제문화관광단지,충청남도 부여군,,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,36.30386704,126.9007732,,,
24,보문관광단지,경상북도 경주시,,경상북도 경주시 보문로 446,경상북도 경주시 신평동 375-7,35.843673,129.2869659,,,
25,오색관광지,강원도 양양군,,,강원도 양양군 서면 가라피리 165,38.07706115,128.5128997,,,
26,지경관광지,강원도 양양군,,,강원도 양양군 현남면 지리 5-1,37.92741327,128.7948611,,,
27,설해원(양양국제공항),강원도 양양군,,,강원도 양양군 손양면 동호리 510-28,38.05555608,128.6641979,,,
28,만리포 관광지,충청남도 태안군,,충청남도 태안군 소원면 만리포2길 190-3,,36.7900078076,126.1465708612,,,
29,레인보우힐링관광지,충청북도 영동군,,,충청북도 영동군 영동읍 매천리 산 35-1,36.15635341,127.7865137,,,
30,송호관광지,충청북도 영동군,,충청북도 영동군 양산면 송호로 105,충청북도 영동군 양산면 송호리 249-8,36.12969079,127.676367,,,
31,순천만국가정원,전라남도 순천시,,전라남도 순천시 국가정원1호길 47,전라남도 순천시 오천동 600,34.92888588,127.4999591,,,
32,순천만습지,전라남도 순천시,,전라남도 순천시 순천만길 513-25(대대동),전라남도 순천시 대대동 162-2,34.88579701,127.5092833,,,
33,낙안읍성,전라남도 순천시,,전라남도 순천시 낙안면 충민길 30(동내리),전라남도 순천시 낙안면 동내리 438-1,34.90640107,127.3418227,,,
34,드라마촬영장,전라남도 순천시,,전라남도 순천시 비례골길 24(조례동),전라남도 순천시 조례동 22,34.95810919,127.5378026,,,
35,뿌리깊은나무박물관,전라남도 순천시,,전라남도 순천시 낙안면 평촌3길 45,전라남도 순천시 낙안면 남내리 219,34.9036464,127.3399827,,,
36,송광사,전라남도 순천시,,전라남도 순천시 송광면 송광사안길 100,전라남도 순천시 송광면 신평리 12,35.00236255,127.2748706,,,
37,선암사,전라남도 순천시,,전라남도 순천시 승주읍 선암사길 450,전라남도 순천시 승주읍 죽학리 802,34.99618213,127.327356,,,
38,에코촌유스호스텔,전라남도 순천시,,전라남도 순천시 해룡면 생태배움길 123,전라남도 순천시 해룡면 대안리 1055-9,34.92310938,127.5164423,,,
39,순천자연휴양림,전라남도 순천시,,전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시 서면 운평리 산160,35.04388083,127.4744949,,,
40,기독교역사박물관,전라남도 순천시,,전라남도 순천시 매산길 61(매곡동),전라남도 순천시 매곡동 179-10,34.96043473,127.4801207,,,
41,승주골프장,전라남도 순천시,,전라남도 순천시 별량면 오실길 333,전라남도 순천시 별량면 덕정리 산90-1,34.89477542,127.4482083,,,
42,파인힐스골프장,전라남도 순천시,,전라남도 순천시 주암면 송광사길 99,전라남도 순천시 주암면 문길리 산20-2,35.03454985,127.2723022,,,
43,레이크힐스골프장,전라남도 순천시,,전라남도 순천시 주암면 행정1길 77,전라남도 순천시 주암면 행정리 1,35.0453779,127.3092617,,,
44,순천컨트리클럽,전라남도 순천시,,전라남도 순천시 별량면 동화사길 85,전라남도 순천시 별량면 죽산리 447,34.86653556,127.4059214,,,
45,부영컨트리클럽,전라남도 순천시,,전라남도 순천시 해룡면 신대로 188,전라남도 순천시 해룡면 신대리 1043,34.94005246,127.5555065,,,
46,그림책도서관,전라남도 순천시,,전라남도 순천시 도서관길 33(동외동),전라남도 순천시 동외동 176,34.9579091,127.4860252,,,
47,순천시청소년수련원,전라남도 순천시,,전라남도 순천시 서면 청소년수련원길 167,전라남도 순천시 서면 운평리 774-1,35.04652524,127.4733227,,,
48,순천용오름마을,전라남도 순천시,,전라남도 순천시 주암면 운룡2길 17,전라남도 순천시 주암면 운룡리 798-1,35.0921171,127.2020571,,,
49,순천향매실마을,전라남도 순천시,,전라남도 순천시 월등면 계월길 138,전라남도 순천시 월등면 계월리 493,35.0622232,127.4045173,,,
50,순천생태마을,전라남도 순천시,,전라남도 순천시 승주읍 고산도목길 9,전라남도 순천시 승주읍 도정리 1642-1,35.06648711,127.3602718,,,
51,거차뻘배체험마을,전라남도 순천시,,전라남도 순천시 별량면 거차길 130,전라남도 순천시 별량면 마산리 566-1,34.8375993,127.4474457,,,
52,낙안민속자연휴양림,전라남도 순천시,,전라남도 순천시 낙안면 민속마을길 1600,전라남도 순천시 낙안면 동내리 산3-1,34.91226789,127.3523884,,,
53,은파관광지,전라북도 군산시,,전라북도 군산시 은파순환길9 (나운동),전라북도 군산시 나운동 1223-5,35.95536227,126.6890748,,,
54,금강호관광지,전라북도 군산시,,전라북도 군산시 성산면 철새로 120,전라북도 군산시 성산면 성덕리 411-1,36.01987856,126.7653058,,,
55,삼척해수욕장,강원도 삼척시,,강원도 삼척시 수로부인길 453,,37.47034344,129.1647024,,,
56,맹방관광지,강원도 삼척시,,강원도 삼척시 근덕면 상맹방길 30-80,,37.39591618,129.2207941,,,
57,장호관광지,강원도 삼척시,,강원도 삼척시 근덕면 삼척로 2154,,37.2868038,129.3079336,,,
